artist,album,name,popularity,release_date,track_number,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_min
WK,Push Away the Rain,Push Away the Rain,0,2021-06-11,1,0.34,0.401,-9.742,0.0268,0.0233,0.000789,0.111,0.0689,4.137866666666667
WK,No Sleep,No Sleep,0,2021-02-19,1,0.366,0.825,-6.208,0.0359,0.000787,0.023,0.367,0.324,3.72575
WK,Wonder Kid on Lantern Light Live,No Sleep,0,2020-03-06,1,0.549,0.935,-5.713,0.0687,0.112,6.42e-05,0.0934,0.339,3.7711833333333336
WK,Wonder Kid on Lantern Light Live,No Shape,0,2020-03-06,2,0.481,0.942,-5.45,0.0656,0.000559,0.00797,0.156,0.38,4.620683333333333
WK,Wonder Kid on Lantern Light Live,Vessel,0,2020-03-06,3,0.535,0.905,-5.913,0.0458,0.00181,0.00477,0.0423,0.295,4.165316666666667
WK,Wonder Kid on Lantern Light Live,Wonder Kid,0,2020-03-06,4,0.472,0.912,-5.97,0.0695,0.00347,1.42e-05,0.11,0.381,4.676916666666667
WK,No Shape,No Shape,0,2019-08-02,1,0.373,0.857,-4.151,0.0408,0.000926,3.3e-05,0.505,0.498,4.4
WK,Over.,Waves.,0,2018-11-17,1,0.559,0.813,-4.61,0.0405,0.00267,0.0421,0.285,0.411,4.743116666666666
WK,Over.,Wonderkid.,0,2018-11-17,2,0.452,0.753,-4.649,0.0383,0.000406,5.6e-05,0.0939,0.492,4.090216666666667
WK,Over.,Blood.,0,2018-11-17,3,0.466,0.892,-4.43,0.0427,0.00177,0.866,0.62,0.334,1.6285333333333334
WK,Over.,Friends.,0,2018-11-17,4,0.299,0.883,-3.888,0.0713,0.000291,0.00513,0.327,0.52,6.538133333333334
WK,Over.,Cycles.,1,2018-11-17,5,0.58,0.692,-5.352,0.0265,0.0206,0.00444,0.0948,0.331,4.128666666666667
